"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"251","3A",22,"Expérience > 6 mois",5,"Un ordinateur",3,2,"< 3",2,"Souvent","Non","Quasiment tous","Oui",1,1,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"252","1A",20,"Sans Expérience",2,"Un ordinateur",2,1,"< 10",5,"Souvent","Non","En grande partie","Oui",0,4,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Ah bonne idée"
"253","1A",20,"Sans Expérience",5,"Un smartphone",4,4,"> 10",3,"Rarement","Oui","En grande partie","Oui",0,0,"Non","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"254","3A",22,"Entre 1 et 6 mois",6,"Un ordinateur",7,4,"> 10",10,"Rarement","Oui","En grande partie","Oui",0,1,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"255","1A",19,"Sans Expérience",8,"Un ordinateur",5,3,"> 10",20,"Souvent","Non","Rarement","Oui",0,5,"Oui","Oui","Oui","Pas tellement importante","Lire tous les mails","Oui, souvent"
"257","1A",21,"Sans Expérience",4,"Un smartphone",4,2,"< 10",5,"Souvent","Non","Rarement","Oui",0,3,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"259","1A",24,"Ça se compte en années",10,"Un smartphone",4,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",6,10,"Parfois","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"260","1A",19,"Entre 1 et 6 mois",5,"Un ordinateur",5,4,"< 10",4,"Rarement","Non","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"261","Césure",23,"Entre 1 et 6 mois",1,"Un ordinateur",4,4,"< 10",40,"Rarement","Non","Rarement","Oui",0,5,"Oui","Oui","Non","Très importante","Lire tous les mails","Oui, parfois"
"262","1A",21,"Entre 1 et 6 mois",5,"Un ordinateur",3,3,"< 10",7,"Souvent","Oui","En grande partie","Oui",8,15,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"263","1A",20,"Sans Expérience",4,"Un smartphone",3,2,"< 10",15,"Souvent","Non","Rarement","Oui",2,5,"Parfois","Non","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"264","1A",19,"Entre 1 et 6 mois",3,"Un ordinateur",2,2,"< 10",7,"Souvent","Non","En grande partie","Oui",30,2,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"265","1A",20,"Ça se compte en années",3,"Un ordinateur",3,1,"< 3",1,"Souvent","Oui","En grande partie","Oui",10,2,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"266","Césure",22,"Entre 1 et 6 mois",4,"Un smartphone",3,2,"< 10",4,"Souvent","Non","En grande partie","Oui",6,2,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"267","1A",20,"Expérience > 6 mois",8,"Une montre connectée",5,5,"< 10",10,"Rarement","Oui","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"269","2A",21,"Entre 1 et 6 mois",3,"Un smartphone",5,2,"< 10",10,"Rarement","Oui","Rarement","Oui",894,10,"Oui","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"270","Autre",21,"Sans Expérience",3,"Un smartphone",5,4,"> 10",10,"Souvent","Non","En grande partie","Oui",400,5,"Oui","Oui","Non","Pas tellement importante","Marquer tout en lu","Oui, souvent"
"271","Autre",21,"Expérience > 6 mois",5,"Un smartphone",5,4,"> 30",10,"Souvent","Oui","En grande partie","Oui",0,20,"Non","Oui","Oui","Relativement importante","Lire tous les mails","Oui, souvent"
"272","Enseignant",53,"Ça se compte en années",2,"Un ordinateur",6,4,"> 30",30,"Souvent","Non","En grande partie","Oui",0,200,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"273","1A",20,"Entre 1 et 6 mois",4,"Un smartphone",4,2,"< 10",5,"Rarement","Non","Rarement","Oui",3,4,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"274","3A",23,"Expérience > 6 mois",2,"Un smartphone",4,2,"> 10",10,"Rarement","Oui","Rarement","Oui",0,0,"Parfois","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"275","Césure",20,"Expérience > 6 mois",12,"Un smartphone",7,3,"> 10",8,"Rarement","Oui","Rarement","Oui",100,15,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"276","Master",24,"Entre 1 et 6 mois",5,"Un smartphone",2,2,"< 10",5,"Rarement","Oui","Rarement","Oui",0,4,"Oui","Parfois","Non","Relativement importante","Lire tous les mails","Oui, parfois"
"278","Master",24,"Entre 1 et 6 mois",4,"Un smartphone",2,2,"< 3",5,"Rarement","Oui","En grande partie","Oui",2,3,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"279","2A",21,"Expérience > 6 mois",5,"Un ordinateur",3,2,"< 10",10,"Souvent","Non","Quasiment tous","Oui",100,2,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"280","3A",23,"Expérience > 6 mois",5,"Un ordinateur",2,2,"< 10",10,"Souvent","Non","En grande partie","Oui",100,5,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"281","Autre",36,"Ça se compte en années",12,"Une montre connectée",12,12,"> 30",51,"Toujours","Oui","En grande partie","Oui",342,68,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"282","3A",24,"Sans Expérience",5,"Un smartphone",2,1,"< 10",5,"Rarement","Oui","Rarement","Oui",2000,2,"Oui","Oui","Non","Très importante","Avoir 10.000 mails non lus","Oui, parfois"
"283","2A",21,"Entre 1 et 6 mois",7,"Un smartphone",2,2,"> 10",10,"Souvent","Oui","En grande partie","Oui",25,15,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"284","3A",23,"Expérience > 6 mois",4,"Un ordinateur",3,1,"< 10",10,"Rarement","Oui","Rarement","Oui",10,2,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Ah bonne idée"
"286","2A",23,"Expérience > 6 mois",8,"Un ordinateur",6,3,"< 10",4,"Rarement","Oui","Rarement","Oui",0,0,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"287","1A",20,"Entre 1 et 6 mois",3,"Un smartphone",4,3,"< 10",10,"Souvent","Oui","En grande partie","Oui",100,10,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"288","3A",22,"Ça se compte en années",3,"Un smartphone",4,3,"> 10",3,"Souvent","Oui","En grande partie","Oui",0,3,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"289","3A",24,"Ça se compte en années",10,"Un smartphone",6,3,"> 30",20,"Souvent","Oui","En grande partie","Oui",0,15,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"290","Master",22,"Sans Expérience",5,"Un ordinateur",3,5,"< 10",15,"Rarement","Non","Quasiment tous","Oui",0,30,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, souvent"
"291","2A",22,"Entre 1 et 6 mois",10,"Un ordinateur",4,2,"> 10",20,"Souvent","Oui","Rarement","Oui",0,10,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"292","3A",22,"Sans Expérience",3,"Un smartphone",3,2,"< 10",5,"Souvent","Oui","Quasiment tous","Oui",0,3,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"293","3A",24,"Expérience > 6 mois",6,"Un ordinateur",3,3,"< 10",3,"Souvent","Oui","Rarement","Oui",0,5,"Oui","Oui","Non","Très importante","Marquer tout en lu","Oui, parfois"
"294","2A",20,"Sans Expérience",4,"Un smartphone",6,3,"< 3",7,"Souvent","Non","En grande partie","Oui",0,3,"Oui","Oui","Non","Très importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
